label,time,date,query,username,text
4,1981532312,Sun May 31 09:21:09 PDT 2009,NO_QUERY,ilove_shoes,i still hate the two people i was on skype with last night. jerksss  jk hehehehe
0,1979447346,Sun May 31 03:05:12 PDT 2009,NO_QUERY,shahveer,morning all. off to the dentist! 
0,2328961736,Thu Jun 25 10:11:19 PDT 2009,NO_QUERY,StephARC,"@LisaP RIP Farrah Fawcett omg I didn't even know she had cancer. That is very sad news, she was a beautiful woman and actress "
0,2324352134,Thu Jun 25 02:56:50 PDT 2009,NO_QUERY,jennysunphoto,I am NOT looking forward to the sydney cold.... 
0,2300501914,Tue Jun 23 14:13:41 PDT 2009,NO_QUERY,quirke,"@wheresmycoffee Sending all my best wishes for him, how awful. "
4,1971064534,Sat May 30 06:06:30 PDT 2009,NO_QUERY,PaulCarterJr,@johna404 It wasn't until I started tweeting that I adopted the &quot;You Rock! &quot; words.  LOL I love it thought! Two words can be so strong! 
0,2198902258,Tue Jun 16 16:44:09 PDT 2009,NO_QUERY,RaDiiii,Hey @souljaboytellem i have to go no ... byeeee   (Soulja Boy live &gt; http://ustre.am/2UhS)
4,1826037678,Sun May 17 07:32:41 PDT 2009,NO_QUERY,Purplediva13,About to get ready for church...  I love Sundays...  
4,1990061154,Mon Jun 01 03:45:08 PDT 2009,NO_QUERY,Jess_Elemental,"A lil cold, a lil tired, and a whole lot of excitement "
0,2243106987,Fri Jun 19 13:02:00 PDT 2009,NO_QUERY,ericbutcher,listening to castavet. hella tired. the pain is taking over my body. 
0,2201434086,Tue Jun 16 20:16:09 PDT 2009,NO_QUERY,debmakescake,"Played bejeweled blitz on fb, but whatever upgrade they did, its not saving my high score.   Good Night all you twitterbees!"
4,2189695906,Tue Jun 16 00:40:13 PDT 2009,NO_QUERY,mmdush,had lunch with my baby.. 
4,1555699904,Sat Apr 18 20:26:53 PDT 2009,NO_QUERY,EricaHoe,going out to eat with samantha tavares!!!!!   {[(!!BEST FRIEND!!)]}
4,1970076308,Sat May 30 02:21:19 PDT 2009,NO_QUERY,happpyarrogance,Bed time!! 
0,2217013484,Wed Jun 17 20:16:21 PDT 2009,NO_QUERY,attonbitus,@oaksaabguy apparently so .. unfortunately evenings are the only time I seem to have time to do any work these days 
4,1979512378,Sun May 31 03:22:10 PDT 2009,NO_QUERY,pozey,sleeping on the couch rather than my nice pillow top bed has possibly caught up to me. Back spasms = can't sleep = espn (fishing). 
0,1974478593,Sat May 30 13:13:04 PDT 2009,NO_QUERY,Caitryn,Garage sale is over  now for studying. Blech.
4,1973072987,Sat May 30 10:25:52 PDT 2009,NO_QUERY,carmen93,Finally clear blue sky 
4,2015530667,Wed Jun 03 04:54:25 PDT 2009,NO_QUERY,alymoecloe,http://twitpic.com/6iyda - Two of my favorite things in one. 
4,1993144333,Mon Jun 01 09:54:12 PDT 2009,NO_QUERY,chicfille,I usually roam till I find one next to a bagel place  @fashionherald
4,1990500355,Mon Jun 01 05:02:03 PDT 2009,NO_QUERY,Savvyhamster,all house chores complete bored now luckily still very excited about J so he keeping me smiling 
0,2067383801,Sun Jun 07 12:14:54 PDT 2009,NO_QUERY,lirazfilanx,@Karinaland yeh it is american boring! 
0,2261627784,Sat Jun 20 21:05:19 PDT 2009,NO_QUERY,LidiaNallely,I really dont want to wake up for work tomorrow 
4,1468742573,Tue Apr 07 03:29:20 PDT 2009,NO_QUERY,bradiewebbstack,@XxXxLeahxXxX  well thankyou mam 
0,2260832660,Sat Jun 20 19:50:36 PDT 2009,NO_QUERY,itisnthealthy,i regret taking Speech over the summer.. 
4,2186908475,Mon Jun 15 19:30:41 PDT 2009,NO_QUERY,PenguinRage,@Ben_Phillips Very misleading title almost enough to say false advertising 
0,2052111562,Fri Jun 05 23:41:46 PDT 2009,NO_QUERY,iLikefatkids,@jemillahayne i wish there was more seasons 
4,1880466057,Fri May 22 01:20:31 PDT 2009,NO_QUERY,KevinEdwardsJr,@abby_wabby if you like 2 laugh..have a good time..follow me..its just that simple 
4,2014948341,Wed Jun 03 03:12:53 PDT 2009,NO_QUERY,retorta,@LiaWhiting Bom dia Lia ! 
4,2063280562,Sun Jun 07 02:02:02 PDT 2009,NO_QUERY,Aranka83,@thelonelysouls I'm looking forward to the 5th season of Weeds that starts tomorrow! 
0,1469189162,Tue Apr 07 05:32:33 PDT 2009,NO_QUERY,courtttx,I wish my computer wasn't broken so I could get a effin pic up..why can't I do it on my blackberrry 
0,2237392659,Fri Jun 19 05:43:20 PDT 2009,NO_QUERY,a_boOgie21,http://twitpic.com/7smvr - Im gona be late for work  bumper to bumper.....
0,2238180364,Fri Jun 19 06:56:04 PDT 2009,NO_QUERY,LalaSingian,@aashleymart I like the dentist.  she gives me food. =P~
0,2298244096,Tue Jun 23 11:26:08 PDT 2009,NO_QUERY,cOcOfAv,promised to take Daeja and Dooka to the beach today  ....lol
4,2189499602,Tue Jun 16 00:10:35 PDT 2009,NO_QUERY,eleahbaant,@salisburydowns he he he 
0,1825139339,Sun May 17 04:31:05 PDT 2009,NO_QUERY,penpen72,@Wyldceltic1 I love orange slices!! My grandpa used to always have them for me when I'd go to see him! I miss him and can't eat them now 
4,2058195729,Sat Jun 06 14:27:27 PDT 2009,NO_QUERY,devilishdelish,@jgeary have a wonderful time in Guatemala! 
0,2257282893,Sat Jun 20 14:05:23 PDT 2009,NO_QUERY,b0bbiex3,I really do not enjoy thunderstorms 
0,2323473372,Thu Jun 25 00:43:36 PDT 2009,NO_QUERY,SoniaYasminAli,@wilf1369 lol true. Marv's having he's operation today.  I'm so worried. I love him more than anything. Poor little dude.
4,1971922632,Sat May 30 08:11:08 PDT 2009,NO_QUERY,aleafalls,At the nashville screenwriters conference... Excited to go to the llama farm party later 
4,2002710836,Tue Jun 02 04:58:05 PDT 2009,NO_QUERY,doccox,"@yeelam in what? I am home now, at last! I have the night off, can't wait to get some rest. "
0,2226323801,Thu Jun 18 11:48:42 PDT 2009,NO_QUERY,bry_boo,have to go to dentist next week 
4,1792982458,Thu May 14 00:56:04 PDT 2009,NO_QUERY,kate_m22,"@LauralKGW i don't watch it, and never really cared to.. so you may be 'lost', but you're not alone. "
0,2046494838,Fri Jun 05 12:15:42 PDT 2009,NO_QUERY,mikehill,I cant create groups in tweetdeck   I follow too many people and it crashes the program
4,2186743266,Mon Jun 15 19:16:23 PDT 2009,NO_QUERY,krissydip,@habsfan27 @habsfan27 lmao its a really good show! 
0,2003286244,Tue Jun 02 06:15:03 PDT 2009,NO_QUERY,barrie,@boulderdog1 does anyone remember the url to @pitbull_fan76's site?  my puter crashed on sunday so i don't have my browser history 
0,2057805977,Sat Jun 06 13:41:45 PDT 2009,NO_QUERY,xlbinney,@wastedlittledjs aw noe. I hope it works. 
0,2064353016,Sun Jun 07 06:01:40 PDT 2009,NO_QUERY,xunknown, might not be able to go to Cali. Maybe Canada? Or shall I bribe my mom to go to London!!!??? xD
0,2186665106,Mon Jun 15 19:09:38 PDT 2009,NO_QUERY,mjmags,@mrs_snell oh me too!!! That movie looks good..but I'm pretty sure it won't come to victoria 
0,1694643861,Mon May 04 03:32:26 PDT 2009,NO_QUERY,soked1435,cant sleep..fuck..i miss her 
0,1970930333,Sat May 30 05:41:45 PDT 2009,NO_QUERY,cytsydeny,there is nothing to do with~ 
4,1978997110,Sun May 31 01:13:37 PDT 2009,NO_QUERY,hapagirlmemoir,@detlef_c Thank you for the comment and for reading my blog!  I agree about not fitting being the fittest ;)
0,2325276582,Thu Jun 25 05:08:03 PDT 2009,NO_QUERY,jasonRmoore,and bummed about missing #geekbreakfast 
4,2179401597,Mon Jun 15 09:03:19 PDT 2009,NO_QUERY,katieRicketts,"@lesley007 I love looking at things that way! Thanks, you made me smile "
0,1979040793,Sun May 31 01:24:00 PDT 2009,NO_QUERY,Daddys_pet,@matthewmoloney I have no sound on my pc 
4,2185666909,Mon Jun 15 17:43:32 PDT 2009,NO_QUERY,starz1nelli,@LNTweet just got the EP audio and video!!!! 
0,2230732946,Thu Jun 18 17:31:38 PDT 2009,NO_QUERY,isabella12195,Jake took a shit in my room 
4,1678052007,Sat May 02 05:17:10 PDT 2009,NO_QUERY,Tanzy,"At the pub, the sun is shining and Tamara should get here soon. Today is a good day "
0,1751234838,Sat May 09 18:58:44 PDT 2009,NO_QUERY,SophieMerkley,woah party foul on boating today it broke down 
0,2226265970,Thu Jun 18 11:44:22 PDT 2009,NO_QUERY,killshining,Great. I'm in the office by myself and the phones are busy. WHY DO THIS TO ME  Can I go on lunch too?
